Danish,English,Plural
ser god ud,good looking,ser god ud
bleg,pale,bleg
ung,young,ung
en personlihed,personality,personliheder
venlig,kind,venlig
modig,brave,modig
følsom,sensitive,følsom
forærdelig,horrible,forærdelig
ambitiøs,ambitious,ambitiøs
lidenskabelig,pasionate,lidenskabelig
forsigtig,careful,forsigtig
kynisk,cynical,kynisk
afhændig,independant,afhændig
stærk,strong,stærk
sjovt,fun,sjovt
sjov,funny,sjov
sød,sweet,sød
høflig,polite,høflig
smart,smart / inteligent,smart
gavmild,generous,gavmild
interessant,interesting,interessant
løgner,liar,løgner
doven,lazy,doven
magtfulde,powerful,magtfulde
positiv,positive,positiv
reserveret,reserved,reserveret
alvorlig,serious,alvorlig
pæn,nice,pæn
talentfuld,talented,talentfuld
en nevø,nephew,nevøer
særlig,particular,særlig
et gardin,curtain,gardiner
et skab,cabinet,skabe
en kam,comb,kamme
en pille,pill,piller
et viskelæder,eraser,viskelædere
en tegnebog,wallet,tegnebøger
et væv,tissue,væv
briller,glasses,briller
en sko,shoe,sko
en sok,sock,sokker
at savn,to miss,savner
kun,only,kun
en sygeplejerske,nurse,sygeplejersker
at få,get,får
et vejr,weather,vejre
sur,sour,surt
at brug,to use,bruger
at smag,taste,smager
en retning,direction,retninger
en sted,place,steder
en butik,shop,butikker
et bibliotek,library,biblioteker
en bygning,building,bygninger
et kontor,office,kontorer
en togstation,train station,togstationer
et bussstopested,bus stop,busstoppesteder
en strand,beach,strande
en restaurant,restaurant,restauranter
et park,park,parker
en kirke,church,kirker
en biograf,cinema,biografer
et posthus,posthouse,posthus
en gade,street,gader
et hjørne,corner,hjørner
ved siden af,next to,ved siden af
bag,behind,bag
derefter,then,derefter
at dreje,to turn,drejer
at krydse,cross(street),krydser
mellem,between,mellem
modsat,opposite,modsat
foran,in front of,foran
fordi,because,fordi
at lave,do / doing,laver
at ligge,to lie / lies,ligger
